[2026-06-08T07:10:50.056Z] GET http://127.0.0.1:8787/api/summary → pending (?ms, ?B)
[2026-06-08T07:10:50.056Z] GET http://127.0.0.1:8787/api/shells?lines=80 → 200 (21ms, 55833B)
[2026-06-08T07:10:50.056Z] GET http://127.0.0.1:8787/api/ui-config → 200 (1ms, 239B)
[2026-06-08T07:10:50.059Z] GET http://127.0.0.1:8787/api/tickers → pending (?ms, ?B)
[2026-06-08T07:10:50.059Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:10:50.059Z] GET http://127.0.0.1:8787/api/containers → pending (?ms, ?B)
[2026-06-08T07:10:50.059Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:10:50.059Z] GET http://127.0.0.1:8787/api/links → 200 (35ms, 886B)
[2026-06-08T07:10:50.095Z] GET http://127.0.0.1:8787/api/shells/stream?lines=80 → 200 (13ms, ?B)
[2026-06-08T07:10:54.098Z] GET http://127.0.0.1:8787/ → 200 (8ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/xterm.css → 200 (1ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/app.css?v=1780902649 → 200 (?ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/shelldeck-logo.png → 304 (5ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/xterm.js → 304 (1ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/addon-fit.js → 304 (4ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/core.js?v=1780902649 → 304 (5ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/prefs.js?v=1780902649 → pending (?ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/render.js?v=1780902649 → pending (?ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/actions.js?v=1780902649 → pending (?ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/terminal.js?v=1780902649 → pending (?ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/metrics.js?v=1780902649 → pending (?ms, ?B)
[2026-06-08T07:10:54.114Z] GET http://127.0.0.1:8787/assets/events.js?v=1780902649 → pending (?ms, ?B)
[2026-06-08T07:10:54.153Z] GET http://127.0.0.1:8787/api/summary → pending (?ms, ?B)
[2026-06-08T07:10:54.153Z] GET http://127.0.0.1:8787/api/shells?lines=80 → 200 (26ms, 56218B)
[2026-06-08T07:10:54.153Z] GET http://127.0.0.1:8787/api/ui-config → 200 (8ms, 239B)
[2026-06-08T07:10:54.163Z] GET http://127.0.0.1:8787/api/tickers → 200 (477ms, 783B)
[2026-06-08T07:10:54.163Z] GET http://127.0.0.1:8787/api/metrics → 200 (225ms, 556B)
[2026-06-08T07:10:54.163Z] GET http://127.0.0.1:8787/api/containers → 200 (592ms, 1722B)
[2026-06-08T07:10:54.163Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:10:54.163Z] GET http://127.0.0.1:8787/api/links → 200 (16ms, 886B)
[2026-06-08T07:10:54.204Z] GET http://127.0.0.1:8787/api/shells/stream?lines=80 → 200 (?ms, ?B)
[2026-06-08T07:10:59.138Z] GET http://127.0.0.1:8787/api/metrics → 200 (212ms, 556B)
[2026-06-08T07:11:04.137Z] GET http://127.0.0.1:8787/api/metrics → 200 (224ms, 543B)
[2026-06-08T07:11:09.139Z] GET http://127.0.0.1:8787/api/metrics → 200 (211ms, 558B)
[2026-06-08T07:11:09.139Z] GET http://127.0.0.1:8787/api/containers → 200 (555ms, 1722B)
[2026-06-08T07:11:14.138Z] GET http://127.0.0.1:8787/api/metrics → 200 (214ms, 553B)
[2026-06-08T07:11:14.139Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:11:19.138Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:11:24.135Z] GET http://127.0.0.1:8787/api/sessions → 200 (6ms, 958B)
[2026-06-08T07:11:24.139Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:11:24.139Z] GET http://127.0.0.1:8787/api/containers → pending (?ms, ?B)
[2026-06-08T07:11:29.137Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:11:34.139Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:11:34.139Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:11:39.138Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:11:39.138Z] GET http://127.0.0.1:8787/api/containers → pending (?ms, ?B)
[2026-06-08T07:11:44.139Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:11:49.140Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:11:54.136Z] GET http://127.0.0.1:8787/api/sessions → 200 (5ms, 958B)
[2026-06-08T07:11:54.140Z] GET http://127.0.0.1:8787/api/summary → pending (?ms, ?B)
[2026-06-08T07:11:54.141Z] GET http://127.0.0.1:8787/api/tickers → pending (?ms, ?B)
[2026-06-08T07:11:54.141Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:11:54.141Z] GET http://127.0.0.1:8787/api/containers → pending (?ms, ?B)
[2026-06-08T07:11:54.141Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:11:59.137Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:12:04.146Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:12:09.138Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:12:09.138Z] GET http://127.0.0.1:8787/api/containers → pending (?ms, ?B)
[2026-06-08T07:12:14.138Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:12:14.138Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:12:19.137Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:12:24.136Z] GET http://127.0.0.1:8787/api/sessions → 200 (4ms, 958B)
[2026-06-08T07:12:24.139Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:12:24.139Z] GET http://127.0.0.1:8787/api/containers → pending (?ms, ?B)
[2026-06-08T07:12:29.138Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
[2026-06-08T07:12:34.138Z] GET http://127.0.0.1:8787/api/metrics → pending (?ms, ?B)
